2016-04-08
2006-01-04,G综超,sh600361,,超市,9.35,9.08,9.3,9.09,9.39,1098503,1.0075804E7,0.0089,1.961,27.0366,0.5314881,1.11807E9,2.282915322E9,0.0287,-0.0225
2006-01-05,G综超,sh600361,,超市,9.24,8.55,9.15,8.75,9.09,4878879,4.2554608E7,0.0397,1.8876,26.0253,0.5314881,1.07625E9,2.19752575E9,0.0759,-0.0437
2006-01-06,G综超,sh600361,,超市,8.8,8.62,8.75,8.71,8.75,2455855,2.1388192E7,0.02,1.879,25.9063,0.5314881,1.07133E9,2.187479918E9,0.0205,-0.0045
2006-01-09,G综超,sh600361,,超市,8.85,8.5,8.69,8.83,8.71,2675895,2.3244516E7,0.0218,1.9049,26.2633,0.5314881,1.08609E9,2.217617414E9,0.0401,0.0161
2006-01-10,G综超,sh600361,,超市,8.8,8.44,8.8,8.54,8.83,2644635,2.2661988E7,0.0215,1.8423,25.4007,0.5314881,1.05042E9,2.144785132E9,0.0407,-0.0295
2006-01-11,G综超,sh600361,,超市,8.54,8.3,8.54,8.35,8.54,3581551,2.999875E7,0.0291,1.8013,24.8356,0.5314881,1.02705E9,2.09706743E9,0.0281,-0.0222
2006-01-12,G综超,sh600361,,超市,8.73,8.35,8.35,8.66,8.35,4692984,4.026454E7,0.0382,1.8682,25.7576,0.5314881,1.06518E9,2.174922628E9,0.0455,0.0371
2006-01-13,G综超,sh600361,,超市,8.87,8.61,8.68,8.61,8.66,1765263,1.5450576E7,0.0144,1.8574,25.6089,0.5314881,1.05903E9,2.162365338E9,0.03,-0.008
2006-01-16,G综超,sh600361,,超市,8.85,8.6,8.6,8.7,8.61,1351605,1.1775202E7,0.011,1.8768,25.8766,0.5314881,1.0701E9,2.18496846E9,0.029,0.0116
2006-01-17,G综超,sh600361,,超市,8.91,8.7,8.7,8.9,8.7,2116968,1.8694726E7,0.0172,1.92,26.4715,0.5314881,1.0947E9,2.23519762E9,0.0241,0.0229
2006-01-18,G综超,sh600361,,超市,9.05,8.76,9.0,8.9,8.9,1987645,1.7611486E7,0.0162,1.92,26.4715,0.5314881,1.0947E9,2.23519762E9,0.0325,-0.0111
2006-01-19,G综超,sh600361,,超市,9.43,8.88,8.95,9.34,8.9,3308207,3.0318362E7,0.0269,2.0149,27.7802,0.5314881,1.14882E9,2.345701772E9,0.0617,0.0435
2006-01-20,G综超,sh600361,,超市,9.44,9.05,9.25,9.22,9.34,1801998,1.6629933E7,0.0147,1.989,27.4232,0.5314881,1.13406E9,2.315564276E9,0.0417,-0.0032
